,_full model_x,_full model_y,"_no glycinergic
amacrine cell_x","_no glycinergic
amacrine cell_y"
0,-2.722,0.0,-2.722,0.0
1,-2.72,0.0,-2.72,0.0
2,-2.718,0.0,-2.718,0.0
3,-2.716,0.0,-2.716,0.0
4,-2.714,0.0,-2.714,0.0
5,-2.712,0.0,-2.712,0.0
6,-2.71,0.0,-2.71,0.0
7,-2.708,0.0,-2.708,0.0
8,-2.706,0.0,-2.706,0.0
9,-2.704,0.0,-2.704,0.0
10,-2.702,0.0,-2.702,0.0
11,-2.7,0.0,-2.7,0.0
12,-2.698,0.0,-2.698,0.0
13,-2.696,0.0,-2.696,0.0
14,-2.694,0.0,-2.694,0.0
15,-2.692,0.0,-2.692,0.0
16,-2.69,0.0,-2.69,0.0
17,-2.688,0.0,-2.688,0.0
18,-2.686,0.0,-2.686,0.0
19,-2.684,0.0,-2.684,0.0
20,-2.682,0.0,-2.682,0.0
21,-2.68,0.0,-2.68,0.0
22,-2.678,0.0,-2.678,0.0
23,-2.676,0.0,-2.676,0.0
24,-2.674,0.0,-2.674,0.0
25,-2.672,0.0,-2.672,0.0
26,-2.67,0.0,-2.67,0.0
27,-2.668,0.0,-2.668,0.0
28,-2.666,0.0,-2.666,0.0
29,-2.664,0.0,-2.664,0.0
30,-2.662,0.0,-2.662,0.0
31,-2.66,0.0,-2.66,0.0
32,-2.658,0.0,-2.658,0.0
33,-2.656,0.0,-2.656,0.0
34,-2.654,0.0,-2.654,0.0
35,-2.652,0.0,-2.652,0.0
36,-2.65,0.0,-2.65,0.0
37,-2.648,0.0,-2.648,0.0
38,-2.646,0.0,-2.646,0.0
39,-2.644,0.0,-2.644,0.0
40,-2.642,0.0,-2.642,0.0
41,-2.64,0.0,-2.64,0.0
42,-2.638,0.0,-2.638,0.0
43,-2.636,0.0,-2.636,0.0
44,-2.634,0.0,-2.634,0.0
45,-2.632,0.0,-2.632,0.0
46,-2.63,0.0,-2.63,0.0
47,-2.628,0.0,-2.628,0.0
48,-2.626,0.0,-2.626,0.0
49,-2.624,0.0,-2.624,0.0
50,-2.622,0.0,-2.622,0.0
51,-2.62,0.0,-2.62,0.0
52,-2.618,0.0,-2.618,0.0
53,-2.616,0.0,-2.616,0.0
54,-2.614,0.0,-2.614,0.0
55,-2.612,0.0,-2.612,0.0
56,-2.61,0.0,-2.61,0.0
